pk_dt_abertura,data,ano,mes,nu_mes
1,30/07/2010,2010,JUL,7
9958,12/11/1982,1982,NOV,11
5,04/04/1996,1996,ABR,4
12460,05/01/1988,1988,JAN,1
9,14/10/1994,1994,OUT,10
11,27/10/1995,1995,OUT,10
13203,04/07/1972,1972,JUL,7
15,25/06/1982,1982,JUN,6
13510,17/02/1987,1987,FEV,2
19,15/04/1986,1986,ABR,4
21,24/04/2003,2003,ABR,4
9897,26/08/2005,2005,AGO,8
10373,03/02/2004,2004,FEV,2
10961,23/02/1996,1996,FEV,2
11233,06/06/1994,1994,JUN,6
12416,11/03/1980,1980,MAR,3
12716,14/01/2002,2002,JAN,1
12849,25/06/1997,1997,JUN,6
37,05/01/2001,2001,JAN,1
39,14/11/1973,1973,NOV,11
41,06/01/2006,2006,JAN,1
13120,22/11/2010,2010,NOV,11
45,12/02/1996,1996,FEV,2
13228,28/12/1977,1977,DEZ,12
49,30/06/2009,2009,JUN,6
51,21/03/1994,1994,MAR,3
53,11/08/1983,1983,AGO,8
13588,05/05/2010,2010,MAI,5
15019,07/02/1990,1990,FEV,2
59,24/03/1988,1988,MAR,3
3212,09/11/2000,2000,NOV,11
63,20/05/1997,1997,MAI,5
3990,28/11/2006,2006,NOV,11
67,20/02/1975,1975,FEV,2
69,30/04/2009,2009,ABR,4
7862,17/11/1995,1995,NOV,11
73,31/03/2004,2004,MAR,3
75,30/08/2010,2010,AGO,8
77,12/12/2008,2008,DEZ,12
79,25/08/2009,2009,AGO,8
81,16/08/1978,1978,AGO,8
83,30/03/1988,1988,MAR,3
9954,02/02/1967,1967,FEV,2
87,13/03/2008,2008,MAR,3
89,09/01/1973,1973,JAN,1
10257,25/09/2000,2000,SET,9
93,07/06/2001,2001,JUN,6
10554,15/07/1988,1988,JUL,7
97,28/11/2002,2002,NOV,11
11108,17/12/2007,2007,DEZ,12
101,03/05/1993,1993,MAI,5
11267,03/03/1994,1994,MAR,3
105,08/07/2008,2008,JUL,7
107,07/02/2007,2007,FEV,2
12154,03/10/2002,2002,OUT,10
12377,09/04/1976,1976,ABR,4
12390,31/05/1982,1982,MAI,5
115,02/01/1992,1992,JAN,1
117,05/02/1981,1981,FEV,2
119,31/10/1983,1983,OUT,10
121,13/01/2011,2011,JAN,1
123,29/03/1994,1994,MAR,3
125,11/09/1992,1992,SET,9
127,20/05/2010,2010,MAI,5
12816,07/03/2007,2007,MAR,3
12870,20/07/1984,1984,JUL,7
12921,14/05/2004,2004,MAI,5
135,22/11/1988,1988,NOV,11
137,13/12/1985,1985,DEZ,12
139,22/11/2001,2001,NOV,11
141,13/04/1983,1983,ABR,4
13093,12/09/1988,1988,SET,9
145,14/11/2007,2007,NOV,11
13184,29/01/2002,2002,JAN,1
149,11/09/2002,2002,SET,9
151,03/12/2002,2002,DEZ,12
13252,20/07/1992,1992,JUL,7
13263,12/10/1978,1978,OUT,10
157,23/09/1986,1986,SET,9
159,20/06/1986,1986,JUN,6
161,31/12/1965,1965,DEZ,12
163,04/10/1982,1982,OUT,10
13481,12/09/1991,1991,SET,9
167,30/05/1984,1984,MAI,5
169,26/07/2006,2006,JUL,7
171,10/10/1977,1977,OUT,10
173,18/02/2002,2002,FEV,2
175,16/09/2010,2010,SET,9
177,24/03/2008,2008,MAR,3
13951,18/09/2010,2010,SET,9
14131,10/09/1993,1993,SET,9
14359,03/09/1993,1993,SET,9
185,25/03/2002,2002,MAR,3
14463,05/08/1993,1993,AGO,8
14629,11/05/1990,1990,MAI,5
191,30/11/1994,1994,NOV,11
14940,26/03/2007,2007,MAR,3
15096,08/11/2008,2008,NOV,11
3070,06/02/1987,1987,FEV,2
3103,23/10/2010,2010,OUT,10
3226,02/12/2004,2004,DEZ,12
203,17/01/2012,2012,JAN,1
3910,16/05/2001,2001,MAI,5
4127,10/05/2010,2010,MAI,5
5183,09/07/1985,1985,JUL,7
6323,18/11/2002,2002,NOV,11
7359,15/02/1979,1979,FEV,2
215,30/10/2008,2008,OUT,10
217,14/05/2009,2009,MAI,5
8015,28/04/2011,2011,ABR,4
9120,10/08/1992,1992,AGO,8
9221,22/01/1987,1987,JAN,1
9276,06/10/2006,2006,OUT,10
9419,04/02/1986,1986,FEV,2
228,16/08/2006,2006,AGO,8
230,16/07/1997,1997,JUL,7
232,03/09/1999,1999,SET,9
9597,27/04/1983,1983,ABR,4
3722,14/08/2011,2011,AGO,8
9664,09/08/2012,2012,AGO,8
239,19/02/2004,2004,FEV,2
241,23/08/1996,1996,AGO,8
9875,28/09/2000,2000,SET,9
245,25/10/1994,1994,OUT,10
247,11/01/1982,1982,JAN,1
9968,18/12/1986,1986,DEZ,12
10138,23/05/1980,1980,MAI,5
10212,23/03/2006,2006,MAR,3
255,03/01/2002,2002,JAN,1
257,16/04/1992,1992,ABR,4
10353,01/08/1990,1990,AGO,8
10379,26/07/2005,2005,JUL,7
263,15/12/1988,1988,DEZ,12
265,20/09/2010,2010,SET,9
