pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
15314,0,1093701,10,AGENCIAS MATRIMONIAIS,BENS DE CONSUMO,FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
15314,1,4789099,47,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
15314,2,7319003,73,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,SERVIÇOS DE EDUCAÇÃO,PUBLICIDADE E PESQUISA DE MERCADO
15314,3,8230001,82,MARKETING DIRETO,SERVIÇOS PROFISSIONAIS E TÉCNICOS,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS"
15314,4,9609202,96,"SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS",SERVIÇOS DIVERSOS,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
15315,0,4530706,45,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MADEIRA, MATERIAL DE CONSTRUCAO E FERRAGENS",VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15315,1,4542101,45,"REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MOTOCICLETAS E MOTONETAS, PECAS E ACESSORIOS",VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15315,2,4613300,46,REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PECAS E ACESSORIOS NOVOS E USADOS PARA VEICULOS AUTOMOTORES,ATACADO,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
15316,0,4782201,47,COMERCIO VAREJISTA DE CALCADOS,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
15317,0,9602502,96,ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA,SERVIÇOS DIVERSOS,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
15318,0,4789099,47,COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
15318,1,9329899,93,OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DIVERSOS,ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
15319,0,4520001,45,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15319,1,4520002,45,SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15319,2,4520003,45,SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15319,3,4520004,45,SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15319,4,4530703,45,SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15320,0,4781400,47,COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
15320,1,4789001,47,"COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
15321,0,1412601,14,"CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA",DIVERSOS,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
15321,1,1412603,14,"FACCAO DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS",DIVERSOS,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
15322,0,6422100,64,"BANCOS MULTIPLOS, COM CARTEIRA COMERCIAL",BENS DE CAPITAL,ATIVIDADES DE SERVIÇOS FINANCEIROS
15323,0,4530703,45,COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
15323,1,4530704,45,COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES,VAREJO,COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
