pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
2,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,RECANTO CAMPO BELO,SAO PAULO,04880230,SP,"-23,5505199","-46,6333094"
4,RUA DO CRUZEIRO,495,JOAO SOARES,ITABUNA,45604620,BA,"-14,7809311","-39,2636"
6,RUA VITOR DE QUEIROZ MATOS,105,PARQUE SAO LUCAS,SAO PAULO,03263010,SP,"-23,5907593","-46,5486725"
8,RUA ANTONIO GALDINO MARCA,167,VILA CAXIAS,ALEM PARAIBA,36660000,MG,"-21,8833835","-42,6985095"
10,RUA PORTAO DA PIEDADE,155,BARRIS,SALVADOR,40070045,BA,"-12,9830488","-38,5136913"
12,AVENIDA CANDIDO PORTINARI,970,VILA JAGUARA,SAO PAULO,05114001,SP,"-23,5072955","-46,7555407"
14,RUA 24 DE MAIO,574,VILA TARUMA,PINHAIS,83323060,PR,"-25,4387247","-49,1949172"
16,RUA DESEMBARGADOR JAIME,141,SETOR CENTRAL,ANAPOLIS,75020040,GO,"-16,3273047","-48,9533426"
18,RUA VAIL JUSTINIANO TOLEDO,113,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,19700000,SP,"-22,432076","-50,5803154"
20,RUA PARAENSE,SN,CENTRO,AXIXA DO TOCANTINS,77930000,TO,"-5,6149591","-47,7708204"
22,AVENIDA ESTADO,623,RECANTO DO SOL,ANAPOLIS,75074590,GO,"-16,2806113","-48,9319839"
24,RUA ANTONIO CHICALHONE,218,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,13290000,SP,"-23,0864185","-46,9770708"
26,RUA AMANARU,152,RAMOS,RIO DE JANEIRO,21031590,RJ,"-22,8492135","-43,2540858"
28,ESTRADA VARGEM GRANDE,115,VARGEM GRANDE,APIUNA,89135000,SC,"-27,0337085","-49,3872519"
30,AVENIDA EXPEDITO GARCIA,104,CAMPO GRANDE,CARIACICA,29146200,ES,"-20,3433882","-40,3875092"
32,RUA HARROLD LAFFIN,208,GUARANI MIRIM,MASSARANDUBA,89108000,SC,"-26,6109126","-49,0091505"
34,RUA BATISTA RAFFI,803,JARDIM APARECIDA,CAMPINAS,13068601,SP,"-22,8525901","-47,1565107"
36,AVENIDA DOM PEDRO II,3180,CAICARAS,BELO HORIZONTE,30720460,MG,"-19,9120148","-43,9711978"
38,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,VILA LEOPOLDINA,SAO PAULO,05314000,SP,"-23,5505199","-46,6333094"
40,PRACA RAMATIS,161,PARQUE RIACHUELO,BELO HORIZONTE,31230000,MG,"-19,8909944","-43,9523488"
42,RUA ANTONIO SANGOI NETO,156,JUSCELINO KUBITSCHEK,SANTA MARIA,97035090,RS,"-29,6963563","-53,844565"
44,RUA DO COMERCIO,102,ARAPORANGA,SANTANA DO CARIRI,63190000,CE,"-7,1882638","-39,7376748"
46,LOCALIDADE BELA VISTA DO SUL,SN,BELA VISTA SUL,MAFRA,89300000,SC,"-26,1117326","-49,8065079"
48,RUA JOAO SABINO ANDRADE,70A,MATRIZ,VITORIA DE SANTO ANTAO,55602005,PE,"-8,1138885","-35,2915134"
50,RUA CASA DO ATOR,275,VILA OLIMPIA,SAO PAULO,04546004,SP,"-23,6001428","-46,6763564"
52,AVENIDA AFONSO PENA,1825,APARECIDA,UBERLANDIA,38400706,MG,"-18,908382","-48,270572"
54,AVENIDA LUCIANINHO MELLI,42,VILA NOVA OSASCO,OSASCO,06080010,SP,"-23,541913","-46,7788579"
56,RUA ANGELO PETRONINI,478,CENTRO,MENDONCA,15220000,SP,"-21,1900316","-49,580999"
58,RUA MAJOR ANTONIO T CARDOSO,223,CENTRO,ROQUE GONZALES,97970000,RS,"-28,1322847","-55,0223579"
60,RUA PRINCESA ISABEL,238,CENTRO,JOINVILLE,89211595,SC,"-26,2993337","-48,844535"
62,ESTRADA GERAL DO MORRO AGUDO,305,ITACOLOMI,GRAVATAI,94090120,RS,"-29,8744377","-50,9984135"
64,RUA GAMA CERQUEIRA,323,CAMBUCI,SAO PAULO,01539010,SP,"-23,5702953","-46,6197298"
66,RUA POMPILHO GUIMARAES,171,FABRICA,LEOPOLDINA,36700000,MG,"-21,5368229","-42,6413579"
68,LOCALIDADE VILA FATIMA,SN,INTERIOR,VARGEM,89638000,SC,"-27,4872075","-50,9728528"
70,RUA PROFESSOR ALMEIDA COUSIN,125,ENSEADA DO SUA,VITORIA,29050565,ES,"-20,3137737","-40,2941848"
72,RUA MARECHAL SEREJO,133,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,22743380,RJ,"-22,9249284","-43,3431213"
74,LOCALIDADE DE LINHA PROGRESSO,SN,CENTRO,SANTA HELENA,85892000,PR,"-24,8569233","-54,3334256"
