cd_cnpj,nm_razao_social,qt_filial,cod_fl_matriz,dsc_fl_matriz,fl_optante_simei,de_optante_simei,fl_optante_simples,de_optante_simples,pk_dt_abertura,pk_endereco,pk_cnae,cd_natureza_juridica,de_classif_natureza_juridica,de_natureza_juridica,de_nivel_atividade,de_saude_tributaria,de_situacao,vl_total_veiculos_antt,filtro_veiculos_antt,vl_total_veiculos_leves,vl_total_veiculos_pesados,vl_soma_veiculos_leves_pesados,fx_veiculo_leves_pesados
12305448000100,GIOVANNA SOUZA DE LIMA DATE MEI,,1,MATRIZ,1,SIM,1,SIM,1,2,15314,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
14180365000150,NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,3,4,15315,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
01144533000100,T P V CONSTRUCOES ELETRICAS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,5,6,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
01911869000150,LUIZA DE FATIMA CAMPOS DE SOUZA,,1,MATRIZ,0,NÃO,0,NÃO,7,8,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
00243955000170,E C PINTO PRADO & CIA LTDA,,1,MATRIZ,0,NÃO,0,NÃO,9,10,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
00890690000100,LUCIANO OLIVEIRA DA SILVA ME,,1,MATRIZ,0,NÃO,0,NÃO,11,12,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
00887641000100,VZW LANCHES LTDA,,1,MATRIZ,0,NÃO,0,NÃO,13,14,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
00092783000180,SAUNA NACOES UNIDAS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,15,16,-,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
09320876000190,CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME,,1,MATRIZ,0,NÃO,0,NÃO,17,18,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
01846005000100,ANTONIO JOSE DA SILVA RUBIM,,1,MATRIZ,0,NÃO,0,NÃO,19,20,-,2135,PRIVADO,EMPRESARIO INDIVIDUAL,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
05610297000120,RECANTO DA MODA CALCADOS E CONFECCOES LTDA,,1,MATRIZ,0,NÃO,0,NÃO,21,22,15316,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
15044857000180,MARIA GILVANIA DE AQUINO MEI,,1,MATRIZ,1,SIM,1,SIM,23,24,15317,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
15028623000140,DEBORA PINHEIRO DA SILVA MEI,,1,MATRIZ,1,SIM,1,SIM,25,26,15318,2135,PRIVADO,EMPRESARIO INDIVIDUAL,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
07297742000170,MAURO ODELLI ME,,1,MATRIZ,0,NÃO,1,SIM,27,28,15319,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,AZUL,ATIVA,,NÃO,1,0,1,00 a 05
15291845000150,COMERCIO FASHION BIJU LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,29,30,15320,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
15090404000190,CONFECCOES BG LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,31,32,15321,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
90400888251650,BANCO SANTANDER BRASIL SA,,0,FILIAL,0,NÃO,0,NÃO,33,34,15322,2046,PRIVADO,SOCIEDADE ANONIMA ABERTA,MEDIA,VERDE,ATIVA,,NÃO,,,0,00 a 05
12254288000100,CASA DO GOL LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,35,36,15323,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
04226709000160,COMERCIAL M&M YAMASHITA LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,37,38,15324,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
16679748000100,GRUPO CIENTIFICO RAMATIS,10,1,MATRIZ,0,NÃO,0,NÃO,39,40,15325,3999,PRIVADO,ASSOCIACAO PRIVADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
07793444000170,KAUS & KAUS LTDA,,1,MATRIZ,0,NÃO,0,NÃO,41,42,15326,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
03220549000180,ROMERIO RODRIGUES LEITE ME,,1,MATRIZ,0,NÃO,1,SIM,43,44,15327,2135,PRIVADO,EMPRESARIO INDIVIDUAL,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
01687525000100,ASSOCIACAO DE PRESTACAO DE SERVICOS REAL,,1,MATRIZ,0,NÃO,0,NÃO,45,46,15328,3999,PRIVADO,ASSOCIACAO PRIVADA,MEDIA,AZUL,ATIVA,,NÃO,,,0,00 a 05
11772974000100,G MARIA DE AMORIM ME,,1,MATRIZ,0,NÃO,1,SIM,47,48,15329,2135,PRIVADO,EMPRESARIO INDIVIDUAL,ALTA,AZUL,ATIVA,,NÃO,,,0,00 a 05
05850538000290,TECOPY COPIADORA LTDA ME,,0,FILIAL,0,NÃO,0,NÃO,49,50,15330,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,VERMELHO,ATIVA,,NÃO,,,0,00 a 05
86396371000150,LIVRARIA DA SE INDUSTRIA E COMERCIO LTDA ME,1,1,MATRIZ,0,NÃO,1,SIM,51,52,15331,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
52792652000100,CONTINENTAL CIRCUS MOTOCICLETAS LTDA ME,,1,MATRIZ,0,NÃO,0,NÃO,53,54,15332,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
15818386000110,ELEICAO 2012 COMITE FINANCEIRO SP PARA VEREADOR PT MENDONCA,,1,MATRIZ,0,NÃO,0,NÃO,55,56,15333,3999,PRIVADO,ASSOCIACAO PRIVADA,INATIVA,,BAIXADA,,NÃO,,,0,00 a 05
01498181000190,COMERCIAL DE PNEUS WENDT LTDA ME,,1,MATRIZ,0,NÃO,1,SIM,57,58,15334,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,2,0,2,00 a 05
80495856000700,RPS FOTOGRAFIAS LTDA ME,,0,FILIAL,0,NÃO,0,NÃO,59,60,15335,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,BAIXA,VERMELHO,ATIVA,,NÃO,,,0,00 a 05
02186486000120,MOACIR LUIZ DA SILVA VARGAS ME,,1,MATRIZ,0,NÃO,1,SIM,61,62,15336,2135,PRIVADO,EMPRESARIO INDIVIDUAL,BAIXA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
65070146000230,BAR E LANCHONETE PAYSAGE LTDA ME,,0,FILIAL,0,NÃO,0,NÃO,63,64,15337,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,AMARELO,ATIVA,,NÃO,,,0,00 a 05
02053352000130,AGILIS MOTOCICLE LTDA,,1,MATRIZ,0,NÃO,0,NÃO,65,66,15338,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,MEDIA,LARANJA,ATIVA,,NÃO,,,0,00 a 05
06319255001170,PG DOIS AGRICOLA COMERCIAL LTDA,,0,FILIAL,0,NÃO,0,NÃO,67,68,15339,2062,PRIVADO,SOCIEDADE EMPRESARIA LIMITADA,ALTA,VERDE,ATIVA,,NÃO,,,0,00 a 05
